Loading analysis\params-ks-grand.json ...
Processing 704 samples with 4 workers ...
  1/704: m021_vel0 ... N_FFT=32768  EQ peak=10.1dB range=37.5dB  width=3.173
  2/704: m021_vel1 ... N_FFT=32768  EQ peak=11.4dB range=31.7dB  width=3.324
  3/704: m021_vel4 ... N_FFT=32768  EQ peak=15.9dB range=22.5dB  width=4.255
  4/704: m021_vel3 ... N_FFT=32768  EQ peak=18.4dB range=28.6dB  width=4.036
  5/704: m021_vel2 ... N_FFT=32768  EQ peak=13.1dB range=26.8dB  width=4.024
  6/704: m021_vel5 ... N_FFT=32768  EQ peak=15.9dB range=21.3dB  width=4.719
  7/704: m021_vel6 ... N_FFT=32768  EQ peak=21.0dB range=22.9dB  width=4.928
  8/704: m021_vel7 ... N_FFT=32768  EQ peak=24.9dB range=26.2dB  width=4.832
  9/704: m022_vel1 ... N_FFT=32768  EQ peak=13.4dB range=33.8dB  width=4.542
  10/704: m022_vel2 ... N_FFT=32768  EQ peak=14.7dB range=29.9dB  width=5.491
  11/704: m022_vel0 ... N_FFT=32768  EQ peak=8.0dB range=33.5dB  width=3.969
  12/704: m022_vel4 ... N_FFT=32768  EQ peak=24.6dB range=33.8dB  width=5.437
  13/704: m022_vel5 ... N_FFT=32768  EQ peak=20.1dB range=26.8dB  width=6.183
  14/704: m023_vel0 ... N_FFT=32768  EQ peak=11.2dB range=31.2dB  width=3.985
  15/704: m022_vel3 ... N_FFT=32768  EQ peak=22.0dB range=37.3dB  width=5.328
  16/704: m022_vel6 ... N_FFT=32768  EQ peak=22.1dB range=29.5dB  width=6.223
  17/704: m022_vel7 ... N_FFT=32768  EQ peak=27.3dB range=29.1dB  width=4.810
  18/704: m023_vel1 ... N_FFT=32768  EQ peak=18.0dB range=37.8dB  width=3.884
  19/704: m023_vel2 ... N_FFT=32768  EQ peak=14.8dB range=27.4dB  width=4.082
  20/704: m023_vel3 ... N_FFT=32768  EQ peak=16.0dB range=27.4dB  width=4.300
  21/704: m024_vel1 ... N_FFT=32768  EQ peak=14.9dB range=24.7dB  width=3.219
  22/704: m023_vel5 ... N_FFT=32768  EQ peak=16.0dB range=25.4dB  width=4.795
  23/704: m023_vel7 ... N_FFT=32768  EQ peak=28.6dB range=29.9dB  width=4.203
  24/704: m023_vel4 ... N_FFT=32768  EQ peak=16.6dB range=25.8dB  width=4.526
  25/704: m023_vel6 ... N_FFT=32768  EQ peak=24.2dB range=28.8dB  width=4.852
  26/704: m024_vel0 ... N_FFT=32768  EQ peak=12.0dB range=23.5dB  width=3.187
  27/704: m024_vel2 ... N_FFT=32768  EQ peak=17.0dB range=24.3dB  width=3.364
  28/704: m024_vel5 ... N_FFT=32768  EQ peak=15.2dB range=17.2dB  width=3.683
  29/704: m024_vel4 ... N_FFT=32768  EQ peak=19.0dB range=23.4dB  width=3.814
  30/704: m024_vel5 ... N_FFT=32768  EQ peak=15.2dB range=17.3dB  width=3.683
  31/704: m025_vel1 ... N_FFT=32768  EQ peak=16.1dB range=27.0dB  width=3.938
  32/704: m024_vel6 ... N_FFT=32768  EQ peak=18.8dB range=19.5dB  width=3.791
  33/704: m024_vel7 ... N_FFT=32768  EQ peak=13.4dB range=14.1dB  width=3.429
